"","plate","wellLetter","wellRow","wellNumber","well","crab","crabID","chamber","Location","date"
"1","W24_105","A",4,1,"A1","X_7","CH01_X_7_2024_02_03_treat_h_01","CH01","CH01_W24_105_A1","2024_02_03"
"2","W24_105","A",4,2,"A2","X_12","CH01_X_12_2024_02_03_treat_h_01","CH01","CH01_W24_105_A2","2024_02_03"
"3","W24_105","A",4,3,"A3","X_41","CH01_X_41_2024_02_03_treat_h_01","CH01","CH01_W24_105_A3","2024_02_03"
"4","W24_105","A",4,4,"A4","X_28","CH01_X_28_2024_02_03_treat_h_01","CH01","CH01_W24_105_A4","2024_02_03"
"5","W24_105","A",4,5,"A5","X_37","CH01_X_37_2024_02_03_treat_h_01","CH01","CH01_W24_105_A5","2024_02_03"
"6","W24_105","A",4,6,"A6","X_29","CH01_X_29_2024_02_03_treat_h_01","CH01","CH01_W24_105_A6","2024_02_03"
"7","W24_105","B",3,1,"B1","X_45","CH01_X_45_2024_02_03_treat_h_01","CH01","CH01_W24_105_B1","2024_02_03"
"8","W24_105","B",3,2,"B2","X_13","CH01_X_13_2024_02_03_treat_h_01","CH01","CH01_W24_105_B2","2024_02_03"
"9","W24_105","B",3,3,"B3","X_42","CH01_X_42_2024_02_03_treat_h_01","CH01","CH01_W24_105_B3","2024_02_03"
"10","W24_105","B",3,4,"B4","X_43","CH01_X_43_2024_02_03_treat_h_01","CH01","CH01_W24_105_B4","2024_02_03"
"11","W24_105","B",3,5,"B5","X_27","CH01_X_27_2024_02_03_treat_h_01","CH01","CH01_W24_105_B5","2024_02_03"
"12","W24_105","B",3,6,"B6","X_33","CH01_X_33_2024_02_03_treat_h_01","CH01","CH01_W24_105_B6","2024_02_03"
"13","W24_105","C",2,1,"C1","X_39","CH01_X_39_2024_02_03_treat_h_01","CH01","CH01_W24_105_C1","2024_02_03"
"14","W24_105","C",2,2,"C2","X_3","CH01_X_3_2024_02_03_treat_h_01","CH01","CH01_W24_105_C2","2024_02_03"
"15","W24_105","C",2,3,"C3","X_2","CH01_X_2_2024_02_03_treat_h_01","CH01","CH01_W24_105_C3","2024_02_03"
"16","W24_105","C",2,4,"C4","X_6","CH01_X_6_2024_02_03_treat_h_01","CH01","CH01_W24_105_C4","2024_02_03"
"17","W24_105","C",2,5,"C5","X_1","CH01_X_1_2024_02_03_treat_h_01","CH01","CH01_W24_105_C5","2024_02_03"
"18","W24_105","C",2,6,"C6","X_38","CH01_X_38_2024_02_03_treat_h_01","CH01","CH01_W24_105_C6","2024_02_03"
"19","W24_105","D",1,1,"D1","X_5","CH01_X_5_2024_02_03_treat_h_01","CH01","CH01_W24_105_D1","2024_02_03"
"20","W24_105","D",1,2,"D2","X_18","CH01_X_18_2024_02_03_treat_h_01","CH01","CH01_W24_105_D2","2024_02_03"
"21","W24_105","D",1,3,"D3","X_31","CH01_X_31_2024_02_03_treat_h_01","CH01","CH01_W24_105_D3","2024_02_03"
"22","W24_105","D",1,4,"D4","X_8","CH01_X_8_2024_02_03_treat_h_01","CH01","CH01_W24_105_D4","2024_02_03"
"23","W24_105","D",1,5,"D5","X_19","CH01_X_19_2024_02_03_treat_h_01","CH01","CH01_W24_105_D5","2024_02_03"
"24","W24_105","D",1,6,"D6","X_40","CH01_X_40_2024_02_03_treat_h_01","CH01","CH01_W24_105_D6","2024_02_03"
"25","W24_116","A",4,1,"A1","X_9","CH01_X_9_2024_02_03_treat_h_01","CH01","CH01_W24_116_A1","2024_02_03"
"26","W24_116","A",4,2,"A2","X_35","CH01_X_35_2024_02_03_treat_h_01","CH01","CH01_W24_116_A2","2024_02_03"
"27","W24_116","A",4,3,"A3","X_4","CH01_X_4_2024_02_03_treat_h_01","CH01","CH01_W24_116_A3","2024_02_03"
"28","W24_116","A",4,4,"A4","X_25","CH01_X_25_2024_02_03_treat_h_01","CH01","CH01_W24_116_A4","2024_02_03"
"29","W24_116","A",4,5,"A5","X_11","CH01_X_11_2024_02_03_treat_h_01","CH01","CH01_W24_116_A5","2024_02_03"
"30","W24_116","A",4,6,"A6","X_14","CH01_X_14_2024_02_03_treat_h_01","CH01","CH01_W24_116_A6","2024_02_03"
"31","W24_116","B",3,1,"B1","X_26","CH01_X_26_2024_02_03_treat_h_01","CH01","CH01_W24_116_B1","2024_02_03"
"32","W24_116","B",3,2,"B2","X_47","CH01_X_47_2024_02_03_treat_h_01","CH01","CH01_W24_116_B2","2024_02_03"
"33","W24_116","B",3,3,"B3","X_30","CH01_X_30_2024_02_03_treat_h_01","CH01","CH01_W24_116_B3","2024_02_03"
