"","plate","wellLetter","wellRow","wellNumber","well","crab","crabID","chamber","Location","date"
"1","W24_219","A",4,1,"A1","X_48","CH04_X_48_2024_02_06_treat_j_c","CH04","CH04_W24_219_A1","2024_02_06"
"2","W24_219","A",4,2,"A2","X_2","CH04_X_2_2024_02_06_treat_j_c","CH04","CH04_W24_219_A2","2024_02_06"
"3","W24_219","A",4,3,"A3","X_11","CH04_X_11_2024_02_06_treat_j_c","CH04","CH04_W24_219_A3","2024_02_06"
"4","W24_219","A",4,4,"A4","X_36","CH04_X_36_2024_02_06_treat_j_c","CH04","CH04_W24_219_A4","2024_02_06"
"5","W24_219","A",4,5,"A5","X_19","CH04_X_19_2024_02_06_treat_j_c","CH04","CH04_W24_219_A5","2024_02_06"
"6","W24_219","A",4,6,"A6","X_6","CH04_X_6_2024_02_06_treat_j_c","CH04","CH04_W24_219_A6","2024_02_06"
"7","W24_219","B",3,1,"B1","X_18","CH04_X_18_2024_02_06_treat_j_c","CH04","CH04_W24_219_B1","2024_02_06"
"8","W24_219","B",3,2,"B2","X_31","CH04_X_31_2024_02_06_treat_j_c","CH04","CH04_W24_219_B2","2024_02_06"
"9","W24_219","B",3,3,"B3","X_38","CH04_X_38_2024_02_06_treat_j_c","CH04","CH04_W24_219_B3","2024_02_06"
"10","W24_219","B",3,4,"B4","X_12","CH04_X_12_2024_02_06_treat_j_c","CH04","CH04_W24_219_B4","2024_02_06"
"11","W24_219","B",3,5,"B5","X_34","CH04_X_34_2024_02_06_treat_j_c","CH04","CH04_W24_219_B5","2024_02_06"
"12","W24_219","B",3,6,"B6","X_28","CH04_X_28_2024_02_06_treat_j_c","CH04","CH04_W24_219_B6","2024_02_06"
"13","W24_219","C",2,1,"C1","X_17","CH04_X_17_2024_02_06_treat_j_c","CH04","CH04_W24_219_C1","2024_02_06"
"14","W24_219","C",2,2,"C2","X_14","CH04_X_14_2024_02_06_treat_j_c","CH04","CH04_W24_219_C2","2024_02_06"
"15","W24_219","C",2,3,"C3","X_8","CH04_X_8_2024_02_06_treat_j_c","CH04","CH04_W24_219_C3","2024_02_06"
"16","W24_219","C",2,4,"C4","X_15","CH04_X_15_2024_02_06_treat_j_c","CH04","CH04_W24_219_C4","2024_02_06"
"17","W24_219","C",2,5,"C5","X_25","CH04_X_25_2024_02_06_treat_j_c","CH04","CH04_W24_219_C5","2024_02_06"
"18","W24_219","C",2,6,"C6","X_4","CH04_X_4_2024_02_06_treat_j_c","CH04","CH04_W24_219_C6","2024_02_06"
"19","W24_219","D",1,1,"D1","X_40","CH04_X_40_2024_02_06_treat_j_c","CH04","CH04_W24_219_D1","2024_02_06"
"20","W24_219","D",1,2,"D2","X_43","CH04_X_43_2024_02_06_treat_j_c","CH04","CH04_W24_219_D2","2024_02_06"
"21","W24_219","D",1,3,"D3","X_5","CH04_X_5_2024_02_06_treat_j_c","CH04","CH04_W24_219_D3","2024_02_06"
"22","W24_219","D",1,4,"D4","X_30","CH04_X_30_2024_02_06_treat_j_c","CH04","CH04_W24_219_D4","2024_02_06"
"23","W24_219","D",1,5,"D5","X_23","CH04_X_23_2024_02_06_treat_j_c","CH04","CH04_W24_219_D5","2024_02_06"
"24","W24_219","D",1,6,"D6","X_9","CH04_X_9_2024_02_06_treat_j_c","CH04","CH04_W24_219_D6","2024_02_06"
"25","W24_263","A",4,1,"A1","X_21","CH04_X_21_2024_02_06_treat_j_c","CH04","CH04_W24_263_A1","2024_02_06"
"26","W24_263","A",4,2,"A2","X_44","CH04_X_44_2024_02_06_treat_j_c","CH04","CH04_W24_263_A2","2024_02_06"
"27","W24_263","A",4,3,"A3","X_45","CH04_X_45_2024_02_06_treat_j_c","CH04","CH04_W24_263_A3","2024_02_06"
"28","W24_263","A",4,4,"A4","X_24","CH04_X_24_2024_02_06_treat_j_c","CH04","CH04_W24_263_A4","2024_02_06"
"29","W24_263","A",4,5,"A5","X_32","CH04_X_32_2024_02_06_treat_j_c","CH04","CH04_W24_263_A5","2024_02_06"
"30","W24_263","A",4,6,"A6","X_29","CH04_X_29_2024_02_06_treat_j_c","CH04","CH04_W24_263_A6","2024_02_06"
"31","W24_263","B",3,1,"B1","X_27","CH04_X_27_2024_02_06_treat_j_c","CH04","CH04_W24_263_B1","2024_02_06"
"32","W24_263","B",3,2,"B2","X_22","CH04_X_22_2024_02_06_treat_j_c","CH04","CH04_W24_263_B2","2024_02_06"
"33","W24_263","B",3,3,"B3","X_7","CH04_X_7_2024_02_06_treat_j_c","CH04","CH04_W24_263_B3","2024_02_06"
"34","W24_263","B",3,4,"B4","X_20","CH04_X_20_2024_02_06_treat_j_c","CH04","CH04_W24_263_B4","2024_02_06"
