"","plate","wellLetter","wellRow","wellNumber","well","crab","crabID","chamber","Location","date"
"1","W24_301","A",4,1,"A1","X_19","CH07_X_19_2024_02_06_treat_j_f","CH07","CH07_W24_301_A1","2024_02_06"
"2","W24_301","A",4,2,"A2","X_12","CH07_X_12_2024_02_06_treat_j_f","CH07","CH07_W24_301_A2","2024_02_06"
"3","W24_301","A",4,3,"A3","X_31","CH07_X_31_2024_02_06_treat_j_f","CH07","CH07_W24_301_A3","2024_02_06"
"4","W24_301","A",4,4,"A4","X_17","CH07_X_17_2024_02_06_treat_j_f","CH07","CH07_W24_301_A4","2024_02_06"
"5","W24_301","A",4,5,"A5","X_3","CH07_X_3_2024_02_06_treat_j_f","CH07","CH07_W24_301_A5","2024_02_06"
"6","W24_301","A",4,6,"A6","X_1","CH07_X_1_2024_02_06_treat_j_f","CH07","CH07_W24_301_A6","2024_02_06"
"7","W24_301","B",3,1,"B1","X_40","CH07_X_40_2024_02_06_treat_j_f","CH07","CH07_W24_301_B1","2024_02_06"
"8","W24_301","B",3,2,"B2","X_46","CH07_X_46_2024_02_06_treat_j_f","CH07","CH07_W24_301_B2","2024_02_06"
"9","W24_301","B",3,3,"B3","X_20","CH07_X_20_2024_02_06_treat_j_f","CH07","CH07_W24_301_B3","2024_02_06"
"10","W24_301","B",3,4,"B4","X_35","CH07_X_35_2024_02_06_treat_j_f","CH07","CH07_W24_301_B4","2024_02_06"
"11","W24_301","B",3,5,"B5","X_22","CH07_X_22_2024_02_06_treat_j_f","CH07","CH07_W24_301_B5","2024_02_06"
"12","W24_301","B",3,6,"B6","X_9","CH07_X_9_2024_02_06_treat_j_f","CH07","CH07_W24_301_B6","2024_02_06"
"13","W24_301","C",2,1,"C1","X_6","CH07_X_6_2024_02_06_treat_j_f","CH07","CH07_W24_301_C1","2024_02_06"
"14","W24_301","C",2,2,"C2","X_27","CH07_X_27_2024_02_06_treat_j_f","CH07","CH07_W24_301_C2","2024_02_06"
"15","W24_301","C",2,3,"C3","X_7","CH07_X_7_2024_02_06_treat_j_f","CH07","CH07_W24_301_C3","2024_02_06"
"16","W24_301","C",2,4,"C4","X_15","CH07_X_15_2024_02_06_treat_j_f","CH07","CH07_W24_301_C4","2024_02_06"
"17","W24_301","C",2,5,"C5","X_18","CH07_X_18_2024_02_06_treat_j_f","CH07","CH07_W24_301_C5","2024_02_06"
"18","W24_301","C",2,6,"C6","X_2","CH07_X_2_2024_02_06_treat_j_f","CH07","CH07_W24_301_C6","2024_02_06"
"19","W24_301","D",1,1,"D1","X_41","CH07_X_41_2024_02_06_treat_j_f","CH07","CH07_W24_301_D1","2024_02_06"
"20","W24_301","D",1,2,"D2","X_26","CH07_X_26_2024_02_06_treat_j_f","CH07","CH07_W24_301_D2","2024_02_06"
"21","W24_301","D",1,3,"D3","X_29","CH07_X_29_2024_02_06_treat_j_f","CH07","CH07_W24_301_D3","2024_02_06"
