"","plate","wellLetter","wellRow","wellNumber","well","crab","crabID","chamber","Location","date"
"1","W24_245","A",4,1,"A1","X_15","CH09_X_15_2024_02_06_treat_j_e","CH09","CH09_W24_245_A1","2024_02_06"
"2","W24_245","A",4,2,"A2","X_19","CH09_X_19_2024_02_06_treat_j_e","CH09","CH09_W24_245_A2","2024_02_06"
"3","W24_245","A",4,3,"A3","X_34","CH09_X_34_2024_02_06_treat_j_e","CH09","CH09_W24_245_A3","2024_02_06"
"4","W24_245","A",4,4,"A4","X_33","CH09_X_33_2024_02_06_treat_j_e","CH09","CH09_W24_245_A4","2024_02_06"
"5","W24_245","A",4,5,"A5","X_27","CH09_X_27_2024_02_06_treat_j_e","CH09","CH09_W24_245_A5","2024_02_06"
"6","W24_245","A",4,6,"A6","X_31","CH09_X_31_2024_02_06_treat_j_e","CH09","CH09_W24_245_A6","2024_02_06"
"7","W24_245","B",3,1,"B1","X_17","CH09_X_17_2024_02_06_treat_j_e","CH09","CH09_W24_245_B1","2024_02_06"
"8","W24_245","B",3,2,"B2","X_40","CH09_X_40_2024_02_06_treat_j_e","CH09","CH09_W24_245_B2","2024_02_06"
"9","W24_245","B",3,3,"B3","X_12","CH09_X_12_2024_02_06_treat_j_e","CH09","CH09_W24_245_B3","2024_02_06"
"10","W24_245","B",3,4,"B4","X_18","CH09_X_18_2024_02_06_treat_j_e","CH09","CH09_W24_245_B4","2024_02_06"
"11","W24_245","B",3,5,"B5","X_47","CH09_X_47_2024_02_06_treat_j_e","CH09","CH09_W24_245_B5","2024_02_06"
"12","W24_245","B",3,6,"B6","X_48","CH09_X_48_2024_02_06_treat_j_e","CH09","CH09_W24_245_B6","2024_02_06"
"13","W24_245","C",2,1,"C1","X_25","CH09_X_25_2024_02_06_treat_j_e","CH09","CH09_W24_245_C1","2024_02_06"
"14","W24_245","C",2,2,"C2","X_13","CH09_X_13_2024_02_06_treat_j_e","CH09","CH09_W24_245_C2","2024_02_06"
"15","W24_245","C",2,3,"C3","X_16","CH09_X_16_2024_02_06_treat_j_e","CH09","CH09_W24_245_C3","2024_02_06"
"16","W24_245","C",2,4,"C4","X_23","CH09_X_23_2024_02_06_treat_j_e","CH09","CH09_W24_245_C4","2024_02_06"
"17","W24_245","C",2,5,"C5","X_44","CH09_X_44_2024_02_06_treat_j_e","CH09","CH09_W24_245_C5","2024_02_06"
"18","W24_245","C",2,6,"C6","X_20","CH09_X_20_2024_02_06_treat_j_e","CH09","CH09_W24_245_C6","2024_02_06"
"19","W24_245","D",1,1,"D1","X_36","CH09_X_36_2024_02_06_treat_j_e","CH09","CH09_W24_245_D1","2024_02_06"
"20","W24_245","D",1,2,"D2","X_10","CH09_X_10_2024_02_06_treat_j_e","CH09","CH09_W24_245_D2","2024_02_06"
"21","W24_245","D",1,3,"D3","X_14","CH09_X_14_2024_02_06_treat_j_e","CH09","CH09_W24_245_D3","2024_02_06"
"22","W24_245","D",1,4,"D4","X_24","CH09_X_24_2024_02_06_treat_j_e","CH09","CH09_W24_245_D4","2024_02_06"
"23","W24_245","D",1,5,"D5","X_21","CH09_X_21_2024_02_06_treat_j_e","CH09","CH09_W24_245_D5","2024_02_06"
"24","W24_245","D",1,6,"D6","X_9","CH09_X_9_2024_02_06_treat_j_e","CH09","CH09_W24_245_D6","2024_02_06"
"25","W24_265","A",4,1,"A1","X_4","CH09_X_4_2024_02_06_treat_j_e","CH09","CH09_W24_265_A1","2024_02_06"
"26","W24_265","A",4,2,"A2","X_28","CH09_X_28_2024_02_06_treat_j_e","CH09","CH09_W24_265_A2","2024_02_06"
"27","W24_265","A",4,3,"A3","X_39","CH09_X_39_2024_02_06_treat_j_e","CH09","CH09_W24_265_A3","2024_02_06"
"28","W24_265","A",4,4,"A4","X_46","CH09_X_46_2024_02_06_treat_j_e","CH09","CH09_W24_265_A4","2024_02_06"
"29","W24_265","A",4,5,"A5","X_8","CH09_X_8_2024_02_06_treat_j_e","CH09","CH09_W24_265_A5","2024_02_06"
"30","W24_265","A",4,6,"A6","X_37","CH09_X_37_2024_02_06_treat_j_e","CH09","CH09_W24_265_A6","2024_02_06"
"31","W24_265","B",3,1,"B1","X_1","CH09_X_1_2024_02_06_treat_j_e","CH09","CH09_W24_265_B1","2024_02_06"
"32","W24_265","B",3,2,"B2","X_7","CH09_X_7_2024_02_06_treat_j_e","CH09","CH09_W24_265_B2","2024_02_06"
"33","W24_265","B",3,3,"B3","X_41","CH09_X_41_2024_02_06_treat_j_e","CH09","CH09_W24_265_B3","2024_02_06"
"34","W24_265","B",3,4,"B4","X_2","CH09_X_2_2024_02_06_treat_j_e","CH09","CH09_W24_265_B4","2024_02_06"
"35","W24_265","B",3,5,"B5","X_30","CH09_X_30_2024_02_06_treat_j_e","CH09","CH09_W24_265_B5","2024_02_06"
"36","W24_265","B",3,6,"B6","X_45","CH09_X_45_2024_02_06_treat_j_e","CH09","CH09_W24_265_B6","2024_02_06"
"37","W24_265","C",2,1,"C1","X_26","CH09_X_26_2024_02_06_treat_j_e","CH09","CH09_W24_265_C1","2024_02_06"
"38","W24_265","C",2,2,"C2","X_32","CH09_X_32_2024_02_06_treat_j_e","CH09","CH09_W24_265_C2","2024_02_06"
"39","W24_265","C",2,3,"C3","X_43","CH09_X_43_2024_02_06_treat_j_e","CH09","CH09_W24_265_C3","2024_02_06"
"40","W24_265","C",2,4,"C4","X_3","CH09_X_3_2024_02_06_treat_j_e","CH09","CH09_W24_265_C4","2024_02_06"
"41","W24_265","C",2,5,"C5","X_22","CH09_X_22_2024_02_06_treat_j_e","CH09","CH09_W24_265_C5","2024_02_06"
"42","W24_265","C",2,6,"C6","X_35","CH09_X_35_2024_02_06_treat_j_e","CH09","CH09_W24_265_C6","2024_02_06"
"43","W24_265","D",1,1,"D1","X_6","CH09_X_6_2024_02_06_treat_j_e","CH09","CH09_W24_265_D1","2024_02_06"
"44","W24_265","D",1,2,"D2","X_11","CH09_X_11_2024_02_06_treat_j_e","CH09","CH09_W24_265_D2","2024_02_06"
"45","W24_265","D",1,3,"D3","X_42","CH09_X_42_2024_02_06_treat_j_e","CH09","CH09_W24_265_D3","2024_02_06"
"46","W24_265","D",1,4,"D4","X_29","CH09_X_29_2024_02_06_treat_j_e","CH09","CH09_W24_265_D4","2024_02_06"
"47","W24_265","D",1,5,"D5","X_5","CH09_X_5_2024_02_06_treat_j_e","CH09","CH09_W24_265_D5","2024_02_06"
"48","W24_265","D",1,6,"D6","X_38","CH09_X_38_2024_02_06_treat_j_e","CH09","CH09_W24_265_D6","2024_02_06"
